ENERGY STAR Score
99.0
84.0
100.0
77.0
37.0
25.0
1.0
86.0
73.0
48.0
26.0
25.0
40.0
100.0
93.0
40.0
1.0
90.0
84.0
29.0
93.0
100.0
84.0
85.0
74.0
100.0
62.0
31.0
58.0
50.0
63.0
54.0
90.0
75.0
94.0
34.0
28.0
100.0
76.0
6.0
99.0
42.0
72.0
85.0
68.0
84.0
87.0
51.0
38.0
39.0
76.0
39.0
50.0
49.0
1.0
30.0
20.0
91.0
29.0
99.0
93.0
98.0
69.0
11.0
100.0
45.0
97.0
90.0
25.0
67.0
100.0
52.0
100.0
73.0
18.0
93.0
34.0
79.0
85.0
78.0
25.0
86.0
69.0
99.0
100.0
60.0
89.0
1.0
96.0
100.0
91.0
96.0
99.0
41.0
19.0
99.0
70.0
97.0
1.0
86.0
2.0
88.0
80.0
4.0
58.0
68.0
66.0
70.0
100.0
22.0
71.0
71.0
9.0
88.0
61.0
95.0
91.0
84.0
100.0
77.0
100.0
100.0
71.0
78.0
87.0
14.0
6.0
78.0
95.0
97.0
56.0
63.0
35.0
71.0
89.0
81.0
33.0
100.0
93.0
80.0
71.0
25.0
26.0
64.0
86.0
60.0
81.0
37.0
58.0
91.0
80.0
74.0
100.0
70.0
51.0
68.0
98.0
2.0
65.0
75.0
96.0
64.0
50.0
85.0
60.0
20.0
38.0
37.0
76.0
37.0
41.0
91.0
61.0
60.0
84.0
92.0
80.0
65.0
1.0
61.0
72.0
42.0
3.0
98.0
25.0
73.0
100.0
89.0
14.0
79.0
75.0
99.0
35.0
92.0
63.0
33.0
100.0
1.0
98.0
5.0
87.0
39.0
2.0
70.0
56.0
96.0
60.0
25.0
32.0
65.0
66.0
30.0
75.0
77.0
96.0
70.0
96.0
87.0
92.0
82.0
75.0
81.0
29.0
97.0
83.0
57.0
81.0
83.0
4.0
73.0
3.0
83.0
81.0
100.0
20.0
13.0
44.0
81.0
72.0
100.0
26.0
45.0
20.0
82.0
64.0
60.0
77.0
70.0
48.0
96.0
67.0
72.0
77.0
9.0
67.0
63.0
16.0
42.0
40.0
87.0
62.0
99.0
99.0
33.0
95.0
100.0
68.0
65.0
89.0
11.0
1.0
100.0
100.0
50.0
57.0
88.0
100.0
56.0
90.0
25.0
36.0
82.0
13.0
66.0
81.0
83.0
71.0
84.0
95.0
82.0
100.0
65.0
98.0
90.0
71.0
37.0
87.0
100.0
95.0
22.0
13.0
1.0
91.0
1.0
40.0
5.0
60.0
100.0
35.0
95.0
46.0
77.0
41.0
3.0
100.0
31.0
63.0
51.0
76.0
81.0
64.0
23.0
73.0
100.0
100.0
61.0
78.0
80.0
89.0
33.0
55.0
66.0
49.0
5.0
20.0
98.0
35.0
60.0
93.0
88.0
9.0
59.0
3.0
76.0
50.0
94.0
96.0
10.0
58.0
87.0
77.0
4.0
71.0
39.0
2.0
77.0
79.0
42.0
100.0
20.0
100.0
80.0
1.0
89.0
67.0
17.0
65.0
98.0
